names,第1章,第2章,第3章,第4章,第5章,第6章,第7章,第8章,第9章,第10章,第11章,第12章,第13章,第14章,第15章,第16章,第17章,第18章,第19章,第20章,第21章,第22章,第23章,第24章,第25章,第26章,第27章,第28章,第29章,第30章,第31章,第32章,第33章,第34章,第35章,第36章,第37章,第38章,第39章,第40章,第41章,第42章,第43章,第44章,第45章,第46章,第47章
n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
水镜,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5513085262496892,0.5513085262496892,0.5513085262496892,0.5513085262496892,0.5513085262496892,0.5513085262496892,0.5513085262496892,0.5513085262496892,0.5513085262496892,0.5513085262496892,0.5513085262496892,0.5513085262496892,0.5513085262496892,0.5513085262496892,0.5513085262496892,0.5513085262496892,0.5513085262496892,0.5513085262496892,0.5513085262496892,0.5513085262496892,0.5513085262496892,0.5513085262496892,0.5513085262496892,0.5513085262496892,0.5513085262496892,0.5513085262496892,0.5513085262496892,0.5513085262496892,0.5513085262496892,0.5513085262496892,0.5513085262496892
有些,0.5,0.5,0.5,0.9368791947743141,0.9368791947743141,0.9368791947743141,0.9368791947743141,0.9368791947743141,0.9999763808836403,0.9999763808836403,0.9999763808836403,0.9999763808836403,0.9892320672602922,0.47636224774887803,0.47636224774887803,0.47636224774887803,0.8586698377162141,0.8586698377162141,0.0013011900976320767,0.0013011900976320767,0.170273904526538,0.170273904526538,0.170273904526538,0.170273904526538,0.170273904526538,0.08961732203439066,0.08961732203439066,0.04913642624769177,0.04913642624769177,0.04913642624769177,0.04913642624769177,0.5737440902699061,0.5737440902699061,0.5737440902699061,0.9941215183242419,0.996078970807286,0.9226377311614615,0.9805704768257455,0.9805704768257455,0.9805704768257455,0.995070465213744,0.9998178807553205,0.6638945300988705,0.9999999574930434,0.9953667677074743,0.9953667677074743,0.9374766485514688
方才,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3258208433178451,0.3258208433178451,0.14618265168162414,0.14618265168162414,0.9870367921404648,0.9870367921404648,0.9870367921404648,0.9870367921404648,0.9870367921404648,0.9870367921404648,0.9870367921404648,0.9870367921404648,0.9870367921404648,0.8103985333114119,0.8103985333114119,0.8103985333114119,0.8103985333114119,0.8103985333114119,0.8103985333114119,0.8103985333114119,0.8103985333114119,0.8103985333114119,0.8103985333114119,0.3243833937502908,0.3243833937502908,0.9924404570468096,0.9924404570468096,0.9924404570468096,0.9924404570468096,0.9924404570468096,0.7410430152617845,0.9999982736129085,0.24140161918693726,0.24140161918693726,0.49129295967292536
凤凰,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
水神,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.29670181758057,1.29670181758057,1.29670181758057,1.29670181758057,1.29670181758057,1.580408372531423,1.0066650687187646,1.0066650687187646,1.0066650687187646,1.0066650687187646,1.0066650687187646,1.0066650687187646,1.0066650687187646,1.076454555137898,1.076454555137898,1.076454555137898,1.076454555137898,1.076454555137898,1.076454555137898,1.076454555137898,1.076454555137898,1.076454555137898,1.076454555137898,1.0323426707409182,1.0323426707409182,1.0323426707409182,1.0323426707409182,1.0493879108925022,1.0493879108925022
花神,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.0006584862411096,1.0006584862411096,1.0006584862411096,1.0006584862411096,1.0006584862411096,1.0006584862411096,1.0006584862411096,1.0006584862411096,1.0006584862411096,1.0006584862411096,1.0006584862411096,1.000080293352715,1.000080293352715,1.000080293352715,1.000080293352715,1.000080293352715,1.000080293352715,1.0304157627350858,1.0304157627350858,1.0304157627350858,1.0304157627350858,1.0304157627350858,1.0304157627350858,1.0304157627350858,1.0304157627350858,1.0304157627350858,1.0304157627350858,1.0304157627350858,1.0304157627350858,1.0304157627350858,1.0304157627350858,1.0304157627350858,1.0304157627350858
花界,1.5,1.5,1.5,1.82997251441166,1.82997251441166,1.82997251441166,1.82997251441166,1.82997251441166,1.82997251441166,1.82997251441166,1.82997251441166,1.0146111850006392,1.0146111850006392,1.0146111850006392,1.0495451729271936,1.0495451729271936,1.0120629353834363,1.0120629353834363,1.1979817311118128,1.1979817311118128,1.1979817311118128,1.1979817311118128,1.1979817311118128,1.1979817311118128,1.1979817311118128,1.1979817311118128,1.1979817311118128,1.1979817311118128,1.1979817311118128,1.1979817311118128,1.1979817311118128,1.1979817311118128,1.1979817311118128,1.1979817311118128,1.1979817311118128,1.1979817311118128,1.1979817311118128,1.1979817311118128,1.1979817311118128,1.1979817311118128,1.1979817311118128,1.1979817311118128,1.1979817311118128,1.1979817311118128,1.1979817311118128,1.1979817311118128,1.1979817311118128
m,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
